what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1320043318496
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1320043318496
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320043318496
java.vm.specification.version,sysinfo,,,"1.0",1320043318496
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1320043318496
java.vm.version,sysinfo,,,"20.0-b11",1320043318496
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1320043319520
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320043321512
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1320043321884
