what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1319708776019
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1319708776031
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1319708776043
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1319708776056
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1319708776064
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1319708776065
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1319708776075
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1319708776076
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1319708776089
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1319708776096
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1319708776103
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1319708776113
os,sysinfo,,,"linux",1319708776118
arch,sysinfo,,,"x86_64",1319708776118
ws,sysinfo,,,"gtk",1319708776118
locale,sysinfo,,,"en_US",1319708776118
processors,sysinfo,,,"4",1319708776119
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1319708776119
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1319708776119
java.specification.name,sysinfo,,,"Java Platform API Specification",1319708776119
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319708776119
java.specification.version,sysinfo,,,"1.6",1319708776119
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1319708776119
java.version,sysinfo,,,"1.6.0_23",1319708776119
java.vm.info,sysinfo,,,"mixed mode",1319708776119
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1319708776119
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1319708776119
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319708776119
java.vm.specification.version,sysinfo,,,"1.0",1319708776119
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1319708776119
java.vm.version,sysinfo,,,"20.0-b11",1319708776119
started,bundle,org.eclipse.cdt.codan.ui,2.0.0.201109151620,"org.eclipse.cdt.codan.ui",1319708776884
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1319708778737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319708779668
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319708799629
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319708799813
